>>>python train_siamese_network.py 

2020-09-18 17:23:49.530751: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2020-09-18 17:23:49.560168: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2000000000 Hz
2020-09-18 17:23:49.568106: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x56278723bc30 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2020-09-18 17:23:49.568203: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version

Iteration 90/1000000: Train loss: 5.025586, Train Accuracy: 0.562500, lr = 0.001000
Iteration 91/1000000: Train loss: 5.025805, Train Accuracy: 0.484375, lr = 0.001000
Iteration 92/1000000: Train loss: 5.020721, Train Accuracy: 0.562500, lr = 0.001000
Iteration 93/1000000: Train loss: 5.018807, Train Accuracy: 0.578125, lr = 0.001000
Iteration 94/1000000: Train loss: 5.017289, Train Accuracy: 0.609375, lr = 0.001000
Iteration 95/1000000: Train loss: 5.016713, Train Accuracy: 0.640625, lr = 0.001000
Iteration 96/1000000: Train loss: 5.012252, Train Accuracy: 0.593750, lr = 0.001000
Iteration 97/1000000: Train loss: 5.013518, Train Accuracy: 0.562500, lr = 0.001000
Iteration 98/1000000: Train loss: 5.011492, Train Accuracy: 0.609375, lr = 0.001000
Iteration 99/1000000: Train loss: 5.009854, Train Accuracy: 0.687500, lr = 0.001000
Iteration 100/1000000: Train loss: 5.007168, Train Accuracy: 0.625000, lr = 0.001000
Iteration 101/1000000: Train loss: 5.008360, Train Accuracy: 0.593750, lr = 0.001000
Iteration 102/1000000: Train loss: 5.005641, Train Accuracy: 0.515625, lr = 0.001000
Iteration 103/1000000: Train loss: 4.996261, Train Accuracy: 0.546875, lr = 0.001000
Iteration 104/1000000: Train loss: 4.997375, Train Accuracy: 0.609375, lr = 0.001000
Iteration 105/1000000: Train loss: 4.998668, Train Accuracy: 0.578125, lr = 0.001000
Iteration 106/1000000: Train loss: 5.000270, Train Accuracy: 0.453125, lr = 0.001000
Iteration 107/1000000: Train loss: 4.994373, Train Accuracy: 0.578125, lr = 0.001000
Iteration 108/1000000: Train loss: 4.987158, Train Accuracy: 0.578125, lr = 0.001000
Iteration 109/1000000: Train loss: 4.990787, Train Accuracy: 0.437500, lr = 0.001000
Iteration 110/1000000: Train loss: 4.986779, Train Accuracy: 0.546875, lr = 0.001000
Iteration 111/1000000: Train loss: 4.989851, Train Accuracy: 0.593750, lr = 0.001000
Iteration 112/1000000: Train loss: 4.986516, Train Accuracy: 0.500000, lr = 0.001000
Iteration 113/1000000: Train loss: 4.984881, Train Accuracy: 0.593750, lr = 0.001000
Iteration 114/1000000: Train loss: 4.983964, Train Accuracy: 0.500000, lr = 0.001000
Iteration 115/1000000: Train loss: 4.980327, Train Accuracy: 0.609375, lr = 0.001000
Iteration 116/1000000: Train loss: 4.981019, Train Accuracy: 0.593750, lr = 0.001000
Iteration 117/1000000: Train loss: 4.976321, Train Accuracy: 0.546875, lr = 0.001000
Iteration 118/1000000: Train loss: 4.972500, Train Accuracy: 0.640625, lr = 0.001000
Iteration 119/1000000: Train loss: 4.973167, Train Accuracy: 0.609375, lr = 0.001000
Iteration 120/1000000: Train loss: 4.973495, Train Accuracy: 0.562500, lr = 0.001000
Iteration 121/1000000: Train loss: 4.974311, Train Accuracy: 0.453125, lr = 0.001000
Iteration 122/1000000: Train loss: 4.970580, Train Accuracy: 0.515625, lr = 0.001000
